country_id,month_id,country,gwcode,isoab,year,month,surrogate_mean_dem_ln,surrogate_mean_imr,surrogate_mean_pop_ln,surrogate_mean_imr_ln,surrogate_mean_pop,main_mean,main_dich,surrogate_mean_dem,surrogate_mean_nch_ln,surrogate_mean_ch,main_mean_ln,surrogate_mean_ch_ln,surrogate_mean_nch
1,548,Guyana,110,GUY,2025,8,0.9738,0.8575,0.1045,0.6192,0.1101,0.0057,0.0031,1.648,0.3298,0.073,0.0057,0.0705,0.3907
2,548,Suriname,115,SUR,2025,8,0.1279,0.4475,0.0986,0.3698,0.1037,0.0026,0.003,0.1365,0.3298,0.073,0.0026,0.0705,0.3907
3,548,Trinidad and Tobago,52,TTO,2025,8,0.1288,0.5293,0.1203,0.4248,0.1279,0.0044,0.0031,0.1374,0.0993,0.073,0.0044,0.0705,0.1044
4,548,Venezuela,101,VEN,2025,8,0.7792,0.7321,0.8236,0.5493,1.2787,0.0958,0.0036,1.1798,1.0549,0.073,0.0915,0.0705,1.8717
5,548,Samoa,990,WSM,2025,8,0.2622,0.3588,0.0863,0.3066,0.0901,0.0025,0.003,0.2998,0.0993,0.073,0.0025,0.0705,0.1044
6,548,Tonga,972,TON,2025,8,0.2622,0.209,0.0829,0.1898,0.0864,0.0025,0.003,0.2998,0.0993,0.073,0.0025,0.0705,0.1044
7,548,Argentina,160,ARG,2025,8,0.1394,0.2146,1.1807,0.1944,2.2568,0.0045,0.0031,0.1496,0.3298,0.073,0.0045,0.0705,0.3907
8,548,Bolivia,145,BOL,2025,8,0.979,0.6569,0.4299,0.5049,0.5371,0.0255,0.0032,1.6618,0.6929,0.073,0.0252,0.0705,0.9995
9,548,Brazil,140,BRA,2025,8,0.0894,0.3484,1.9171,0.2989,5.8009,2.6015,0.0299,0.0935,0.6929,1.061,1.2813,0.7232,0.9996
10,548,Chile,155,CHL,2025,8,0.0145,0.1613,0.6187,0.1495,0.8565,0.0017,0.003,0.0146,0.1363,0.073,0.0017,0.0705,0.146
11,548,Ecuador,130,ECU,2025,8,0.3244,0.3017,0.578,0.2637,0.7825,0.804,0.0087,0.3831,0.6929,0.073,0.59,0.0705,0.9995
12,548,Paraguay,150,PRY,2025,8,0.5817,0.4436,0.2801,0.3671,0.3233,0.01,0.0031,0.7891,0.3298,0.073,0.0099,0.0705,0.3907
13,548,Peru,135,PER,2025,8,0.2025,0.3836,0.9514,0.3247,1.5893,0.2669,0.0046,0.2245,1.8013,0.073,0.2366,0.0705,5.0576
